연도,기업명,문제명,출처,레벨,완료한사람,정답률,url,지문글자수
2023,현대모비스,경사로의 개수,2023 현대모비스 알고리즘 경진대회 예선,Lv. 4,314명,7%,https://school.programmers.co.kr/learn/courses/30/lessons/214290,1729
2023,현대모비스,에어컨,2023 현대모비스 알고리즘 경진대회 예선,Lv. 3,"1,528명",12%,https://school.programmers.co.kr/learn/courses/30/lessons/214289,3149
2023,현대모비스,상담원 인원,2023 현대모비스 알고리즘 경진대회 예선,Lv. 3,"2,131명",17%,https://school.programmers.co.kr/learn/courses/30/lessons/214288,3159
2024,카카오,가장 많이 받은 선물,2024 KAKAO WINTER INTERNSHIP,Lv. 1,"18,459명",31%,https://school.programmers.co.kr/learn/courses/30/lessons/258712,2721
2024,카카오,도넛과 막대 그래프,2024 KAKAO WINTER INTERNSHIP,Lv. 2,"7,049명",26%,https://school.programmers.co.kr/learn/courses/30/lessons/258711,1686
2024,카카오,주사위 고르기,2024 KAKAO WINTER INTERNSHIP,Lv. 3,"3,960명",24%,https://school.programmers.co.kr/learn/courses/30/lessons/258709,2098
2024,카카오,n + 1 카드게임,2024 KAKAO WINTER INTERNSHIP,Lv. 3,"2,840명",23%,https://school.programmers.co.kr/learn/courses/30/lessons/258707,2729
2024,카카오,산 모양 타일링,2024 KAKAO WINTER INTERNSHIP,Lv. 3,"2,885명",29%,https://school.programmers.co.kr/learn/courses/30/lessons/258705,1042
2025,카카오,기차 선로,2025 카카오 하반기 2차,Lv. 3,171명,3%,https://school.programmers.co.kr/learn/courses/30/lessons/468381,1754
2025,카카오,제곱 개수 배열,2025 카카오 하반기 2차,Lv. 3,131명,10%,https://school.programmers.co.kr/learn/courses/30/lessons/468380,2043
2025,카카오,선인장 숨기기,2025 카카오 하반기 2차,Lv. 2,705명,15%,https://school.programmers.co.kr/learn/courses/30/lessons/468379,2482
2025,카카오,보물 찾기,2025 카카오 하반기 2차,Lv. 3,145명,13%,https://school.programmers.co.kr/learn/courses/30/lessons/468378,2551
2025,카카오,힌트 스테이지,2025 카카오 하반기 2차,Lv. 2,580명,25%,https://school.programmers.co.kr/learn/courses/30/lessons/468377,5289
2025,카카오,발전소 회로 복구,2025 카카오 하반기 1차,Lv. 3,101명,13%,https://school.programmers.co.kr/learn/courses/30/lessons/468375,3963
2025,카카오,바이러스 파이프,2025 카카오 하반기 1차,Lv. 2,784명,36%,https://school.programmers.co.kr/learn/courses/30/lessons/468373,1769
2025,카카오,리프 노드 수 최대화,2025 카카오 하반기 1차,Lv. 2,281명,17%,https://school.programmers.co.kr/learn/courses/30/lessons/468372,1743
2025,카카오,노란불 신호등,2025 카카오 하반기 1차,Lv. 1,"2,489명",30%,https://school.programmers.co.kr/learn/courses/30/lessons/468371,1365
2025,카카오,중요한 단어를 스포 방지,2025 카카오 하반기 1차,Lv. 1,"1,520명",27%,https://school.programmers.co.kr/learn/courses/30/lessons/468370,2595
2025,프로그래머스,격자 뒤집기 미로,2025 프로그래머스 코드챌린지 본선,Lv. 4,117명,4%,https://school.programmers.co.kr/learn/courses/30/lessons/389630,1450
2025,프로그래머스,가장 큰 삼각형 덩어리,2025 프로그래머스 코드챌린지 본선,Lv. 4,125명,6%,https://school.programmers.co.kr/learn/courses/30/lessons/389629,1352
2025,프로그래머스,봉인된 주문,2025 프로그래머스 코드챌린지 2차 예선,Lv. 3,"2,587명",29%,https://school.programmers.co.kr/learn/courses/30/lessons/389481,1632
2025,프로그래머스,완전범죄,2025 프로그래머스 코드챌린지 2차 예선,Lv. 2,"5,448명",31%,https://school.programmers.co.kr/learn/courses/30/lessons/389480,1618
2025,프로그래머스,서버 증설 횟수,2025 프로그래머스 코드챌린지 2차 예선,Lv. 2,"8,672명",54%,https://school.programmers.co.kr/learn/courses/30/lessons/389479,1913
2025,프로그래머스,택배 상자 꺼내기,2025 프로그래머스 코드챌린지 2차 예선,Lv. 1,"11,282명",38%,https://school.programmers.co.kr/learn/courses/30/lessons/389478,1113
2025,프로그래머스,홀짝트리,2025 프로그래머스 코드챌린지 1차 예선,Lv. 3,"1,216명",20%,https://school.programmers.co.kr/learn/courses/30/lessons/388354,2325
2025,프로그래머스,지게차와 크레인,2025 프로그래머스 코드챌린지 1차 예선,Lv. 2,"4,531명",45%,https://school.programmers.co.kr/learn/courses/30/lessons/388353,1734
2025,프로그래머스,비밀 코드 해독,2025 프로그래머스 코드챌린지 1차 예선,Lv. 2,"5,081명",45%,https://school.programmers.co.kr/learn/courses/30/lessons/388352,2305
2025,프로그래머스,유연근무제,2025 프로그래머스 코드챌린지 1차 예선,Lv. 1,"11,514명",51%,https://school.programmers.co.kr/learn/courses/30/lessons/388351,2429
