platform,category,contest_id,contest_title,year,start_epoch_second,problem_id,problem_index,problem_name,problem_title,difficulty,solver_count,ai_tags,ai_tag_count,problem_url,difficulty_100,clean_text_len,clean_text,acceptance_rate
atcoder,abc,abc188,AtCoder Beginner Contest 188,2021,1610280000,abc188_e,E,Peddler,E. Peddler,1170.0,6232,"['dag', 'dp', 'graph theory']",3,https://atcoder.jp/contests/abc188/tasks/abc188_e,45.239,655.0,"配点 : 500 点 問題文 高橋国には、町 1 から町 N までの N 個の町があります。 また、この国には道 1 から道 M までの M 本の道があります。道 i を使うと、町 X_i から町 Y_i へ移動することができます。逆向きへは移動できません。ここで X_i < Y_i であることが保証されます。 この国では金の取引が盛んであり、町 i では、金 1\,\mathrm{kg} を A_i 円で売ったり買ったりすることができます。 旅商人である高橋君は、高橋国内のある町で金を 1\,\mathrm{kg} だけ買い、いくつかの道を使った後、 買った町とは別の町で 金を 1\,\mathrm{kg} だけ売ろうと考えています。 このとき、高橋君の利益 (すなわち ( 金を売った価格 ) - ( 金を買った価格 ) ) として考えられる最大値を求めてください。 制約 2 \le N \le 2 \times 10^5 1 \le M \le 2 \times 10^5 1 \le A_i \le 10^9 1 \le X_i \lt Y_i \le N (X_i, Y_i) \neq (X_j, Y_j) (i \neq j) 入力に含まれる値は全て整数 入力 入力は以下の形式で標準入力から与えられる。 N M A_1 A_2 A_3 \dots A_N X_1 Y_1 X_2 Y_2 X_3 Y_3 \hspace{15pt} \vdots X_M Y_M 出力 答えを出力せよ。",
atcoder,abc,abc188,AtCoder Beginner Contest 188,2021,1610280000,abc188_f,F,+1-1x2,F. +1-1x2,1865.0,3223,"['memoization', 'shortest path', 'greedy', 'recursion']",4,https://atcoder.jp/contests/abc188/tasks/abc188_f,57.36,267.0,"配点 : 600 点 問題文 高橋君は黒板に整数 X を書きました。 高橋君は以下の 3 種類の操作を好きな順序で何回でも実行することができます。 黒板に書かれている値を 1 増やす 黒板に書かれている値を 1 減らす 黒板に書かれている値を 2 倍する 高橋君が黒板に書かれている値を Y にするために必要な最小の操作回数を求めてください。 制約 1 \le X \le 10^{18} 1 \le Y \le 10^{18} X, Y は整数である 入力 入力は以下の形式で標準入力から与えられる。 X Y 出力 答えを出力せよ。",
atcoder,abc,abc189,AtCoder Beginner Contest 189,2021,1611403200,abc189_a,A,Slot,A. Slot,-1145.0,20118,"['string', 'implementation', 'conditional']",3,https://atcoder.jp/contests/abc189/tasks/abc189_a,4.866,199.0,"配点 : 100 点 問題文 あなたはスロットマシーンで遊んでいます。 スロットを回した結果は 3 文字の英大文字 C_1,C_2,C_3 で表され、これらが全て同じ文字であるとき当たりです。 当たりかどうか判定してください。 制約 C_i は英大文字 入力 入力は以下の形式で標準入力から与えられる。 C_1 C_2 C_3 出力 当たりなら Won を、当たりでないなら Lost を出力せよ。",
atcoder,abc,abc189,AtCoder Beginner Contest 189,2021,1611403200,abc189_b,B,Alcoholic,B. Alcoholic,249.0,15911,"['simulation', 'prefix sum', 'math', 'implementation']",4,https://atcoder.jp/contests/abc189/tasks/abc189_b,29.177,411.0,配点 : 200 点 問題文 高橋君はお酒を N 杯飲みました。 i 番目に飲んだお酒は、量が V_i ml、アルコール度数が P_i % です。 高橋君はアルコールの摂取量が X ml を超えると酔っ払います。 高橋君が酔っ払ったのは何杯目のお酒を飲んでいるときですか。ただし、 N 杯全てのお酒を飲んだあとでも酔っ払っていない場合は、かわりに -1 を出力してください。 制約 入力は全て整数 1 \leq N \leq 10^3 0 \leq X \leq 10^6 1 \leq V_i \leq 10^3 0 \leq P_i \leq 100 入力 入力は以下の形式で標準入力から与えられる。 N X V_1 P_1 \vdots V_N P_N 出力 高橋君が酔っ払ったのが何杯目のお酒を飲んでいるときか出力せよ。ただし、 N 杯全てのお酒を飲んだあとでも酔っ払っていない場合は、かわりに -1 を出力せよ。,
atcoder,abc,abc189,AtCoder Beginner Contest 189,2021,1611403200,abc189_c,C,Mandarin Orange,C. Mandarin Orange,565.0,12475,"['monotonic stack', 'array', 'optimization', 'range minimum query']",4,https://atcoder.jp/contests/abc189/tasks/abc189_c,34.688,413.0,"配点 : 300 点 問題文 高橋君の前に N 枚の皿が一列に並べられており、左から i 番目の皿には A_i 個のみかんが置かれています。 高橋君は次の 3 つの条件を全て満たすような整数の組 (l,r,x) を 1 つ選びます。 1\leq l \leq r \leq N 1 \le x l 以上 r 以下の全ての整数 i について、 x \le A_i その後、高橋君は l 番目から r 番目まで (両端を含む) の全ての皿からみかんを x 個ずつ取って食べます。 整数の組 (l,r,x) を適切に選んだとき、高橋君は最大で何個のみかんを食べることができますか。 制約 入力は全て整数 1 \leq N \leq 10^4 1 \leq A_i \leq 10^5 入力 入力は以下の形式で標準入力から与えられる。 N A_1 \ldots A_N 出力 高橋君が食べることのできるみかんの個数の最大値を出力せよ。",
atcoder,abc,abc189,AtCoder Beginner Contest 189,2021,1611403200,abc189_d,D,Logical Expression,D. Logical Expression,769.0,8613,"['dp', 'combinatorics', 'boolean', 'counting']",4,https://atcoder.jp/contests/abc189/tasks/abc189_d,38.246,431.0,"配点 : 400 点 問題文 N 個の文字列 S_1,\ldots,S_N が与えられます。各文字列は AND または OR です。 値が \text{True} または \text{False} であるような N+1 個の変数の組 (x_0,\ldots,x_N) であって、 以下のような計算を行った際に、 y_N が \text{True} となるようなものの個数を求めてください。 y_0=x_0 i\geq 1 のとき、 S_i が AND なら y_i=y_{i-1} \land x_i 、 S_i が OR なら y_i=y_{i-1} \lor x_i a \land b は a と b の論理積を表し、 a \lor b は a と b の論理和を表します。 制約 1 \leq N \leq 60 S_i は AND または OR 入力 入力は以下の形式で標準入力から与えられる。 N S_1 \vdots S_N 出力 答えを出力せよ。",
atcoder,abc,abc189,AtCoder Beginner Contest 189,2021,1611403200,abc189_e,E,Rotate and Flip,E. Rotate and Flip,1526.0,3772,"['affine transformation', 'matrix', 'coordinate geometry', 'prefix', 'query']",5,https://atcoder.jp/contests/abc189/tasks/abc189_e,51.448,868.0,"配点 : 500 点 問題文 2 次元平面に N 個の駒が置かれています。駒には 1 から N までの番号が付いており、駒 i が置かれている座標は (X_i,Y_i) です。複数の駒が同じ座標に置かれている可能性もあります。 M 個の操作 \mathrm{op}_1, \ldots, \mathrm{op}_M を順に行います。操作は 4 種類あり、入力形式と操作の内容は以下の通りです。 1 ：全ての駒を、原点を中心に時計回りに 90 度回転させた位置に移動する 2 ：全ての駒を、原点を中心に反時計回りに 90 度回転させた位置に移動する 3 p ：全ての駒を、直線 x=p について対称な位置に移動する 4 p ：全ての駒を、直線 y=p について対称な位置に移動する クエリが Q 個与えられます。 i 番目のクエリでは 2 つの整数 A_i,B_i が与えられるので、 A_i 個目の操作を行った直後に駒 B_i がある座標を出力してください。ここで、 1 個目の操作の直前を「 0 個目の操作の直後」とみなします。 制約 入力は全て整数 1 \leq N \leq 2\times 10^5 1 \leq M \leq 2\times 10^5 1 \leq Q \leq 2\times 10^5 -10^9 \leq X_i,Y_i \leq 10^9 \mathrm{op}_i は 4 つの操作の種類のいずれかの入力形式に従う 3 p 及び 4 p の操作において -10^9 \leq p \leq 10^9 0 \leq A_i \leq M 1 \leq B_i \leq N 入力 入力は以下の形式で標準入力から与えられる。 N X_1 Y_1 \vdots X_N Y_N M \mathrm{op}_1 \vdots \mathrm{op}_M Q A_1 B_1 \vdots A_Q B_Q 出力 各クエリに対する答えを、 1 行に 1 つずつ、 x 座標、 y 座標の順に空白区切りで出力せよ。",
atcoder,abc,abc189,AtCoder Beginner Contest 189,2021,1611403200,abc189_f,F,Sugoroku2,F. Sugoroku2,2154.0,1984,"['expectation', 'dp', 'formula', 'binary search', 'prefix sum']",5,https://atcoder.jp/contests/abc189/tasks/abc189_f,62.4,631.0,"配点 : 600 点 問題文 高橋君は双六で遊んでいます。 この双六には 0 から N の番号がついた N+1 個のマスがあります。 高橋君はマス 0 からスタートし、マス N を目指します。 この双六では、 1 から M までの M 種類の目が等確率で出るルーレットを使います。 各手番で、高橋君はルーレットを回して出た目の数だけ進みます。この結果マス N に到達するか、マス N を越えて進むことになる場合、ゴールとなります。 また、いくつかのマスは「振り出しに戻る」であり、それらのマスに止まると、マス 0 まで戻されます。 そのようなマスは K 個あり、マス A_1,\ldots,A_K です。 高橋君がゴールするまでにルーレットを回す回数の期待値を答えてください。 ゴールすることが不可能な場合は、かわりに -1 を出力してください。 制約 入力はすべて整数 1 \leq N \leq 10^5 1 \leq M \leq 10^5 0 \leq K \leq 10 0 < A_1 < \ldots < A_K < N 入力 入力は以下の形式で標準入力から与えられる。 N M K A_1 \ldots A_K 出力 高橋君がゴールするまでにルーレットを回す回数の期待値を出力せよ。 なお、想定解答との絶対誤差または相対誤差が 10^{-3} 以下であれば正解として扱われる。 ただし、ゴールすることが不可能な場合は、かわりに -1 と出力せよ。",
atcoder,abc,abc190,AtCoder Beginner Contest 190,2021,1612008000,abc190_a,A,Very Very Primitive Game,A. Very Very Primitive Game,-954.0,20701,"['implementation', 'conditional', 'comparison']",3,https://atcoder.jp/contests/abc190/tasks/abc190_a,8.197,301.0,"配点 : 100 点 問題文 高橋くんと青木くんがゲームを行います。 はじめ、高橋くんは A 個、青木くんは B 個のアメを持っています。 C=0 ならば高橋くんが先手、 C=1 ならば青木くんが先手で、高橋くんと青木くんは以下の操作を交互に繰り返します。 自分の持っているアメを 1 個食べる。 先に操作を行えなくなった者の負けです。どちらが勝つでしょうか？ 制約 入力は全て整数 0 ≤ A, B ≤ 100 C \in \{0, 1\} 入力 入力は以下の形式で標準入力から与えられる。 A B C 出力 高橋くんが勝つならば Takahashi を、青木くんが勝つならば Aoki を出力せよ。",
atcoder,abc,abc190,AtCoder Beginner Contest 190,2021,1612008000,abc190_b,B,Magic 3,B. Magic 3,-774.0,18661,"['search', 'conditional', 'comparison']",3,https://atcoder.jp/contests/abc190/tasks/abc190_b,11.336,380.0,配点 : 200 点 問題文 魔法使いの高橋君は魔物と戦っています。 高橋君は N 種類の呪文を使うことができます。 i 番目の呪文は詠唱に X_i 秒かかり、威力は Y_i です。 ただし、この魔物は強いので、詠唱に S 秒以上かかる呪文や、威力が D 以下の呪文ではダメージを与えられません。 また、呪文以外の方法でダメージを与えることもできません。 高橋君は魔物にダメージを与えられるでしょうか？ 制約 入力は全て整数 1 ≤ N ≤ 100 1 ≤ X_i ≤ 10^9 1 ≤ Y_i ≤ 10^9 1 ≤ S ≤ 10^9 1 ≤ D ≤ 10^9 入力 入力は以下の形式で標準入力から与えられる。 N S D X_1 Y_1 \vdots X_N Y_N 出力 魔物にダメージを与えられるならば Yes を、与えられないならば No を出力せよ。,
atcoder,abc,abc190,AtCoder Beginner Contest 190,2021,1612008000,abc190_c,C,Bowls and Dishes,C. Bowls and Dishes,472.0,12234,"['bit manipulation', 'brute force']",2,https://atcoder.jp/contests/abc190/tasks/abc190_c,33.066,398.0,"配点 : 300 点 問題文 1, 2, \dots, N の番号がついた N 個の皿と、 1, 2, \dots, M の番号がついた M 個の条件があります。 条件 i は、皿 A_i と皿 B_i の両方にボールが ( 1 個以上) 置かれているとき満たされます。 1, 2, \dots, K の番号がついた K 人の人がいて、人 i は皿 C_i か皿 D_i のどちらか一方にボールを置きます。 満たされる条件の個数は最大でいくつでしょうか？ 制約 入力は全て整数 2 ≤ N ≤ 100 1 ≤ M ≤ 100 1 ≤ A_i < B_i ≤ N 1 ≤ K ≤ 16 1 ≤ C_i < D_i ≤ N 入力 入力は以下の形式で標準入力から与えられる。 N M A_1 B_1 \vdots A_M B_M K C_1 D_1 \vdots C_K D_K 出力 答えを出力せよ。",
atcoder,abc,abc190,AtCoder Beginner Contest 190,2021,1612008000,abc190_d,D,Staircase Sequences,D. Staircase Sequences,722.0,9743,"['number theory', 'divisors', 'math', 'arithmetic progression']",4,https://atcoder.jp/contests/abc190/tasks/abc190_d,37.426,122.0,配点 : 400 点 問題文 整数からなる公差 1 の等差数列のうち、総和が N であるものはいくつあるでしょうか？ 制約 1 ≤ N ≤ 10^{12} N は整数 入力 入力は以下の形式で標準入力から与えられる。 N 出力 答えを出力せよ。,
atcoder,abc,abc190,AtCoder Beginner Contest 190,2021,1612008000,abc190_e,E,Magical Ornament,E. Magical Ornament,1645.0,3673,"['graph theory', 'dp', 'bitmask dp', 'bfs', 'shortest path']",5,https://atcoder.jp/contests/abc190/tasks/abc190_e,53.523,669.0,"配点 : 500 点 問題文 AtCoder 王国には 1, 2, \dots, N の番号がついた N 種類の魔法石が流通しています。 高橋くんは、魔法石を一列に並べて飾りを作ろうとしています。 魔法石には隣り合わせにできる組とできない組があります。 隣り合わせにできる組は ( 魔法石 A_1, 魔法石 B_1), ( 魔法石 A_2, 魔法石 B_2), \dots, ( 魔法石 A_M, 魔法石 B_M) の M 組で、それ以外の組は隣り合わせることができません。(これらの組において、石の順序は不問です。) 魔法石 C_1, C_2, \dots, C_K をそれぞれ 1 個以上含む魔法石の列を作ることができるか判定し、作れる場合はそのような列を作るのに必要な魔法石の個数の最小値を求めてください。 制約 入力は全て整数 1 ≤ N ≤ 10^5 0 ≤ M ≤ 10^5 1 ≤ A_i < B_i ≤ N i ≠ j ならば (A_i, B_i) ≠ (A_j, B_j) 1 ≤ K ≤ 17 1 ≤ C_1 < C_2 < \dots < C_K ≤ N 入力 入力は以下の形式で標準入力から与えられる。 N M A_1 B_1 A_2 B_2 \hspace{7mm}\vdots A_M B_M K C_1 C_2 \cdots C_K 出力 魔法石 C_1, C_2, \dots, C_K を含む魔法石の列を作るのに必要な魔法石の個数の最小値を出力せよ。 作ることができない場合、代わりに -1 を出力せよ。",
atcoder,abc,abc190,AtCoder Beginner Contest 190,2021,1612008000,abc190_f,F,Shift and Inversions,F. Shift and Inversions,1321.0,4867,"['inversion counting', 'binary indexed tree', 'cycle', 'incremental', 'combinatorics']",5,https://atcoder.jp/contests/abc190/tasks/abc190_f,47.872,497.0,"配点 : 600 点 問題文 0, 1, 2, \dots, N - 1 を並び替えた数列 A = [a_0, a_1, a_2, \dots, a_{N-1}] が与えられます。 k = 0, 1, 2, \dots, N - 1 のそれぞれについて、 b_i = a_{i+k \bmod N} で定義される数列 B = [b_0, b_1, b_2, \dots, b_{N-1}] の転倒数を求めてください。 転倒数とは 数列 A = [a_0, a_1, a_2, \dots, a_{N-1}] の転倒数とは、 i かつ a_i > a_j を満たす添字の組 (i, j) の個数のことです。 制約 入力は全て整数 2 ≤ N ≤ 3 \times 10^5 a_0, a_1, a_2, \dots, a_{N-1} は 0, 1, 2, \dots, N - 1 の並び替えである 入力 入力は以下の形式で標準入力から与えられる。 N a_0 a_1 a_2 \cdots a_{N-1} 出力 N 行出力せよ。 i + 1 行目には、 k = i としたときの答えを出力せよ。",
atcoder,abc,abc191,AtCoder Beginner Contest 191,2021,1612612800,abc191_a,A,Vanishing Pitch,A. Vanishing Pitch,-717.0,19660,"['implementation', 'math']",2,https://atcoder.jp/contests/abc191/tasks/abc191_a,12.33,439.0,"配点 : 100 点 問題文 高橋君と青木君が野球をしています。高橋君はピッチャー、青木君はバッターです。 高橋君は消える魔球を投げることができます。高橋君が投げる消える魔球は、速さ V \, \mathrm{m / s} で等速直線運動をし、投げた瞬間から T 秒後から S 秒後まで (両端を含む) 消えています。消えている間もボールは移動を続けます。 ボールが高橋君のもとからちょうど D \, \mathrm{m} 離れたときにボールが消えていないならば、青木君はボールを打つことができます。消えているなら打つことはできません。 青木君は高橋君のボールを打つことができますか ? 制約 1 \le V \le 1000 1 \le T \lt S \le 1000 1 \le D \le 1000 入力は全て整数 入力 入力は以下の形式で標準入力から与えられる。 V T S D 出力 青木君がボールを打つことができるなら Yes を、できないなら No を出力せよ。",
atcoder,abc,abc191,AtCoder Beginner Contest 191,2021,1612612800,abc191_b,B,Remove It,B. Remove It,-791.0,20240,"['implementation', 'array', 'filtering']",3,https://atcoder.jp/contests/abc191/tasks/abc191_b,11.039,235.0,配点 : 200 点 問題文 長さ N の整数列 A と整数 X が与えられます。 A から X と等しい要素を全て取り除き、残った要素をそのままの順序で並べた数列 A' を出力してください。 制約 1 \le N \le 10^5 1 \le X \le 10^9 1 \le A_i \le 10^9 入力は全て整数 入力 入力は以下の形式で標準入力から与えられる。 N X A_1 A_2 A_3 \dots A_N 出力 A' の要素を空白区切りで順に出力せよ。,
